,year,month,day,hour,czas,temperature,wilgotnosc,predkosc_wiatru,aqi,o3,so2,no2,pm10,pm25,co
0,2024,1,25,0,2024-01-25T00:00:00,3,86,6.2,34,74.0,4.0,1.3,3.7,2.0,51.4
1,2024,1,24,23,2024-01-24T23:00:00,4,80,6.2,34,73.0,5.0,1.7,3.3,2.0,51.9
2,2024,1,24,22,2024-01-24T22:00:00,4,80,5.7,33,72.0,6.0,2.0,3.0,2.0,52.5
3,2024,1,24,21,2024-01-24T21:00:00,3,80,5.7,33,70.7,4.8,3.0,5.0,4.0,172.5
4,2024,1,24,20,2024-01-24T20:00:00,3,80,6.7,32,69.5,3.7,5.7,6.0,4.67,292.5
5,2024,1,24,19,2024-01-24T19:00:00,4,75,6.2,32,68.2,2.5,7.5,7.5,6.0,412.5
6,2024,1,24,18,2024-01-24T18:00:00,3,93,7.2,31,66.8,3.7,5.0,7.0,6.0,291.7
7,2024,1,24,17,2024-01-24T17:00:00,3,93,7.2,30,65.4,4.8,6.0,7.0,7.0,171.0
8,2024,1,24,16,2024-01-24T16:00:00,4,93,8.8,33,64.0,6.0,7.0,9.0,8.0,50.2
9,2024,1,24,15,2024-01-24T15:00:00,5,93,7.7,36,64.7,3.0,11.0,9.0,8.75,441.0
10,2024,1,24,14,2024-01-24T14:00:00,6,93,8.8,39,63.9,3.0,10.3,11.0,9.33,447.0
11,2024,1,24,13,2024-01-24T13:00:00,8,93,8.8,32,59.5,3.0,11.3,10.5,7.75,450.0
12,2024,1,24,12,2024-01-24T12:00:00,9,87,8.2,37,52.1,3.5,13.0,10.3,9.0,461.5
13,2024,1,24,11,2024-01-24T11:00:00,10,81,9.3,43,42.4,4.0,15.3,11.0,10.25,473.5
14,2024,1,24,10,2024-01-24T10:00:00,10,76,10.8,42,40.4,4.0,16.0,12.0,10.0,276.0
15,2024,1,24,9,2024-01-24T09:00:00,9,81,10.3,38,42.9,3.0,13.3,12.3,9.25,444.0
16,2024,1,24,8,2024-01-24T08:00:00,8,81,10.8,38,46.8,3.0,11.5,12.5,9.25,434.5
17,2024,1,24,7,2024-01-24T07:00:00,8,87,9.8,26,56.0,13.0,3.0,6.0,4.0,60.1
18,2024,1,24,6,2024-01-24T06:00:00,8,81,10.3,38,55.2,4.0,8.5,11.5,9.25,398.5
19,2024,1,24,5,2024-01-24T05:00:00,7,87,10.3,36,57.5,4.0,7.3,12.0,8.67,184.0
20,2024,1,24,4,2024-01-24T04:00:00,7,87,10.3,41,54.2,4.5,7.5,13.3,9.75,379.0
21,2024,1,24,3,2024-01-24T03:00:00,7,87,11.3,50,37.4,6.3,11.8,16.0,12.0,326.0
22,2024,1,24,2,2024-01-24T02:00:00,7,81,10.8,47,44.0,5.5,10.1,14.1,11.38,350.3
23,2024,1,24,1,2024-01-24T01:00:00,7,81,10.3,50,38.9,6.0,11.4,14.6,12.2,336.0
24,2024,1,25,0,2024-01-25T00:00:00,3,86,6.2,34,74.0,4.0,1.3,3.7,2.0,51.4
25,2024,1,24,23,2024-01-24T23:00:00,4,80,6.2,34,73.0,5.0,1.7,3.3,2.0,51.9
26,2024,1,24,22,2024-01-24T22:00:00,4,80,5.7,33,72.0,6.0,2.0,3.0,2.0,52.5
27,2024,1,24,21,2024-01-24T21:00:00,3,80,5.7,33,70.7,4.8,3.0,5.0,4.0,172.5
28,2024,1,24,20,2024-01-24T20:00:00,3,80,6.7,32,69.5,3.7,5.7,6.0,4.67,292.5
29,2024,1,24,19,2024-01-24T19:00:00,4,75,6.2,32,68.2,2.5,7.5,7.5,6.0,412.5
30,2024,1,24,18,2024-01-24T18:00:00,3,93,7.2,31,66.8,3.7,5.0,7.0,6.0,291.7
31,2024,1,24,17,2024-01-24T17:00:00,3,93,7.2,30,65.4,4.8,6.0,7.0,7.0,171.0
32,2024,1,24,16,2024-01-24T16:00:00,4,93,8.8,33,64.0,6.0,7.0,9.0,8.0,50.2
33,2024,1,24,15,2024-01-24T15:00:00,5,93,7.7,36,64.7,3.0,11.0,9.0,8.75,441.0
34,2024,1,24,14,2024-01-24T14:00:00,6,93,8.8,39,63.9,3.0,10.3,11.0,9.33,447.0
35,2024,1,24,13,2024-01-24T13:00:00,8,93,8.8,32,59.5,3.0,11.3,10.5,7.75,450.0
36,2024,1,24,12,2024-01-24T12:00:00,9,87,8.2,37,52.1,3.5,13.0,10.3,9.0,461.5
